MerchantCode	MerchantName	MerchantCategory	grid_id
0001ak3c5il5	Retail Chain 6	Retail	167546.0
0001c35xpel5	Retail Chain 38	Retail	164737.0
000831n1c55	Retail Chain 38	Retail	178079.0
000aiu0y16t6	Retail Individual 185	Retail	175972.0
0012ia2l2l9	F&B Individual 367	F&B	167544.0
0015c13s505	Household Goods and Groceries Chain 4	Household Goods and Groceries	172455.0
0015yac305aj	Household Goods and Groceries Chain 4	Household Goods and Groceries	171061.0
001aac292m2	Retail Chain 19	Retail	164026.0
001n553c108	Retail Chain 38	Retail	175264.0
001nc3g3162	Household Goods and Groceries Chain 1	Household Goods and Groceries	159118.0
001sc3on55g0	Retail Chain 38	Retail	175960.0
001sr03ga5c5	Household Goods and Groceries Chain 4	Household Goods and Groceries	169649.0
001t1is09cr5	Services Individual 12	Services	169657.0
0022n29iio1	F&B Individual 319	F&B	169651.0
002cef912x2	Services Chain 8	Services	168944.0
002lc0l7k18	F&B Chain 57	F&B	173867.0
002n12c29li	Retail Chain 19	Retail	160524.0
00351liign05	Transit & Travel Chain 2	Transit & Travel	165430.0
0036yaa1j13c	Household Goods and Groceries Chain 1	Household Goods and Groceries	169649.0
003al37c1lm6	F&B Chain 15	F&B	170342.0
003i77nc5he0	F&B Individual 240	F&B	166844.0
004i8cdn4g27	Retail Individual 40	Retail	169653.0
00550umr13ip	Services Individual 100	Services	171058.0
00572wiare39	Household Goods and Groceries Chain 13	Household Goods and Groceries	175264.0
005e783n6bia	F&B Individual 400	F&B	166147.0
005i3w015ai	Transit & Travel Chain 2	Transit & Travel	176665.0
0071ef9c03ia	F&B Individual 145	F&B	167535.0
007c2035ieg	F&B Individual 93	F&B	178076.0
0080d2ah1n7c	Retail Chain 24	Retail	163331.0
008l7l2ca1m0	F&B Chain 16	F&B	171764.0
00953715c1	Retail Individual 7	Retail	171049.0
0095i0ji53ab	Retail Individual 227	Retail	173164.0
009c22sj2u1	Retail Chain 34	Retail	163326.0
009pcu31rm09	F&B Individual 16	F&B	166832.0
00a3ng51cg05	Household Goods and Groceries Chain 4	Household Goods and Groceries	164039.0
00c0c0hs104e	F&B Chain 62	F&B	170361.0
00c921l22ey	F&B Chain 9	F&B	163337.0
00ei330cpa19	Services Individual 133	Services	161922.0
00ei530p51w	Retail Individual 174	Retail	170349.0
00eiz535l10u	Retail Chain 21	Retail	171757.0
00eru613ti05	Retail Individual 141	Retail	175968.0
00gn92i122it	F&B Chain 78	F&B	169640.0
00ie5283me6	F&B Individual 329	F&B	164031.0
00isn35501	Retail Individual 235	Retail	169641.0
00k50310a5c	Retail Individual 10	Retail	171055.0
00ll218ce70y	F&B Chain 57	F&B	177369.0
00m0al821li7	Retail Individual 270	Retail	178777.0
00mc550l13al	Retail Chain 38	Retail	167543.0
00mi31i13ng3	Retail Individual 151	Retail	166849.0
00ml7l2a10c8	Household Goods and Groceries Chain 5	Household Goods and Groceries	165438.0
00n8cti01g72	F&B Chain 38	F&B	173153.0
00o60rp521it	Services Individual 75	Services	175274.0
00r0a182e7cs	Retail Chain 24	Retail	162634.0
00ri1782c0lu	Retail Chain 27	Retail	171055.0
00s40ecu3o83	F&B Individual 56	F&B	165435.0
00t6ccp2052e	F&B Chain 42	F&B	164027.0
00teo602ir82	Household Goods and Groceries Individual 18	Household Goods and Groceries	162636.0
00x44mii100	F&B Individual 362	F&B	166149.0
010angw535c0	Household Goods and Groceries Chain 4	Household Goods and Groceries	162631.0
010g35c5u0tn	Retail Chain 38	Retail	168255.0
011a30s4mac2	F&B Chain 27	F&B	164740.0
0120lm9c2a2	Retail Chain 37	Retail	161223.0
012t3400iou	F&B Individual 408	F&B	161922.0
0136s7cer30a	Retail Chain 14	Retail	173166.0
013p5ce00x5l	Retail Chain 38	Retail	164742.0
014o4i0n1is7	Retail Individual 196	Retail	161220.0
01503r0h5cj	Household Goods and Groceries Chain 9	Household Goods and Groceries	176666.0
015043c2504	Retail Chain 33	Retail	175259.0
0150tmca50r3	Household Goods and Groceries Chain 7	Household Goods and Groceries	175974.0
01517050i3s	Retail Individual 257	Retail	170359.0
017il082t0ar	F&B Individual 189	F&B	175968.0
019cti022y2	F&B Chain 41	F&B	172464.0
019l0ia222no	Retail Individual 294	Retail	168959.0
01acl500l5m3	Retail Chain 38	Retail	168255.0
01act78ur020	Retail Chain 24	Retail	161920.0
01c0a87d0na2	F&B Chain 18	F&B	170347.0
01c3u05m50il	Retail Chain 38	Retail	159825.0
01c500tain53	Retail Chain 38	Retail	171060.0
01ca0e53wh05	Household Goods and Groceries Chain 4	Household Goods and Groceries	173871.0
01cngo55300l	Household Goods and Groceries Chain 4	Household Goods and Groceries	161225.0
01e0cs3va055	Household Goods and Groceries Chain 4	Household Goods and Groceries	172449.0
01h6630iwas0	Services Individual 52	Services	163326.0
01i1d2d0n06i	F&B Chain 68	F&B	173168.0
01i5c04is5t9	Services Individual 80	Services	170360.0
01i98b3h0d0	F&B Individual 187	F&B	173157.0
01iu05nc0d09	F&B Individual 36	F&B	172457.0
01ja03ca931r	F&B Individual 51	F&B	166140.0
01k3lec0055u	Household Goods and Groceries Chain 4	Household Goods and Groceries	164031.0
01l4oan367i0	Retail Individual 166	Retail	168949.0
01n503a0ip5g	Retail Individual 92	Retail	175266.0
01nt50ei053	Transit & Travel Chain 2	Transit & Travel	178078.0
01r2c2ui209	F&B Chain 45	F&B	170345.0
01s0eni300g5	F&B Individual 281	F&B	173167.0
0203c14nid8g	Household Goods and Groceries Individual 4	Household Goods and Groceries	169639.0
020lcl9221a	F&B Chain 41	F&B	161228.0
021920a12kc	Retail Chain 11	Retail	177377.0
021ci52j900	Retail Individual 112	Retail	171045.0
022190ri22e	F&B Individual 218	F&B	166140.0
02219rc0e2a	F&B Chain 47	F&B	167534.0
02292a0r1kc	F&B Chain 41	F&B	177366.0
