Category,SubCategory,POIName,shp_cnt
amenity,bank,United Overseas Bank,1
amenity,bus_station,Cyberjaya Bus Station,1
amenity,bus_station,Putrajaya Sentral,1
amenity,cafe,Cendol Durian Borhan,1
amenity,cafe,Lorate Cafe,1
amenity,cafe,Monjo Coffee,1
amenity,cafe,Old Town White Coffee,1
amenity,cafe,PappaRich,1
amenity,cafe,Poolside Cafe,2
amenity,cafe,Putrajaya,1
amenity,cafe,San Francisco Coffee,1
amenity,cafe,Tappers Cafe Cyberjaya,1
amenity,cafe,Tau Cafe,1
amenity,cafe,Tealive,1
amenity,cafe,The Coffee Bean & Tea Leaf,2
amenity,clinic,Pusat Kesihatan Precinct 9,1
amenity,college,Cyberjaya University College of Medical Sciences (CUCMS),1
amenity,college,Kirkby International College,1
amenity,college,University Malaysia of Computer Science & Engineering (UNIMY),1
amenity,community_centre,Dewan Masjid Raja Haji Fisabilillah,2
amenity,community_centre,Dewan Serbaguna Presint 9,1
amenity,community_centre,Komplek Kejiranan Presint 9,1
amenity,crematorium,Presint 20,1
amenity,fast_food,Dominos,1
amenity,fast_food,KFC,1
amenity,fast_food,Marrybrown,1
amenity,fast_food,Pizza Hut Restaurant,1
amenity,fire_station,Balai Bomba & Penyelamat Putrajaya,1
amenity,fire_station,Balai Bomba dan Penyelamat Cyberjaya,2
amenity,fire_station,Ibu Pejabat Jabatan Bomba & Penyelamat,1
amenity,food_court,Central Food Court(CFC),1
amenity,food_court,Food Court Presint 9,1
amenity,fuel,Petron,1
amenity,fuel,Petronas,2
amenity,fuel,Petronas Cyberjaya,1
amenity,fuel,Petronas Persiaran APEC,1
amenity,fuel,Petronas Precint 9,1
amenity,fuel,Shell,2
amenity,fuel,Shell Presinct 8 Putrajaya,1
amenity,hospital,Hospital Putrajaya,1
amenity,hospital,Institut Kanser Negara,1
amenity,kindergarten,Kindergarten Sk Cyberjaya,1
amenity,kindergarten,SK Cyberjaya,1
amenity,parking,Alhijrah Big Studio (ABS) Parking,1
amenity,parking,Cyberview Solar Farm Car Park,1
amenity,parking,DHL Parking,1
amenity,parking,Dell Global IT Centre Car Park,1
amenity,parking,FCI Parking,2
amenity,parking,FIT Parking,1
amenity,parking,Faculty Parking,1
amenity,parking,Faculty of management (FOM) Staff Car Park @ MMU Cyberjaya,2
amenity,parking,Hostel Parking,8
amenity,parking,MCMC Parking,1
amenity,parking,MDeC Parking,1
amenity,parking,Multimedia University Parking,1
amenity,parking,Park n Ride,1
amenity,parking,Parking,1
amenity,parking,Parking Area,1
amenity,parking,Parking area,1
amenity,parking,Sports Arena Cyberjaya Parking,1
amenity,parking,University Parking,5
amenity,parking,Visitor Car Park,1
amenity,place_of_worship,Dewan Masjid Raja Haji Fisabilillah,1
amenity,place_of_worship,Masjid Raja Haji Fisabilillah,2
amenity,place_of_worship,Masjid Taman Putra Perdana,1
amenity,place_of_worship,Mmu Mosque,1
amenity,place_of_worship,Surau Al Hidayah MMU,1
amenity,place_of_worship,"Surau Al Hidayah, MMU Cyberjaya",1
amenity,place_of_worship,Surau Amanputra,1
amenity,place_of_worship,Surau Desa Timah Langat,1
amenity,place_of_worship,Surau Putra Al-Amin,1
amenity,place_of_worship,Surau Smk cyberjaya,2
amenity,place_of_worship,yasmin cyberjaya,1
amenity,police,IPD Putrajaya,1
amenity,police,Kompleks Balai Polis Cyberjaya,1
amenity,recycling,Pusat Kitar Semula Presint 9,1
amenity,restaurant,Al-Naz Maju,1
amenity,restaurant,Al-Qasr Restaurant,1
amenity,restaurant,Alqasr Restaurant,1
amenity,restaurant,Ayam Penyet Ria,1
amenity,restaurant,BarnHouse Cafe,1
amenity,restaurant,Bus Terminal Food Court,1
amenity,restaurant,Culinary Pleasure International Restaurant & Luxury Catering,1
amenity,restaurant,Dengkil Food Paradise,1
amenity,restaurant,Hammurabi Restaurant,2
amenity,restaurant,Ikan Bakar Seri Empangan Putrajaya,1
amenity,restaurant,Istanbul Kabab,1
amenity,restaurant,Istanbul Palace Restaurant,1
amenity,restaurant,Julio's Lounge,1
amenity,restaurant,Julio's Lounge Restaurant,1
amenity,restaurant,Kitchen Village,1
amenity,restaurant,Kush Vegetarian Restaurant,1
amenity,restaurant,Mazaj Restaurant,1
amenity,restaurant,Nando's,1
amenity,restaurant,Nandos,3
amenity,restaurant,Nyonya Valley Restaurant,1
amenity,restaurant,Padi,1
amenity,restaurant,Padi House Cafeteria and Deli Cafe,1
amenity,restaurant,Padi Restaurant,1
amenity,restaurant,Restaurant Erra,1
amenity,restaurant,Restoran Al-Nazmaju,1
amenity,restaurant,Restoran JS Maju,1
amenity,restaurant,Restoran Makang,1
amenity,restaurant,Restoran Medina,1
amenity,restaurant,Royale Nasi Kandar,1
amenity,restaurant,Saba Restaurant Cyberjaya,1
amenity,restaurant,Sabaa Restaurant,1
amenity,restaurant,Salam Noodles,2
amenity,restaurant,Shahnaz Maju,1
amenity,restaurant,Sultan Cuisine Restaurant,1
amenity,restaurant,Sysaban Restaurant,1
amenity,restaurant,TOKYO LUNCH,2
amenity,restaurant,Taiba Restaurant,1
amenity,restaurant,TapMy Comfort Food Restaurant (Rooftop Pan Mee)pers Cafe Cyberjaya,1
amenity,restaurant,The Chicken Rice Shop,1
amenity,restaurant,The Walk,1
amenity,restaurant,Traskun Pakistani Restaurant,1
amenity,restaurant,Traskun Restaurant,1
amenity,restaurant,ULAM dan SUP,1
amenity,restaurant,Y Tomyam Seafood,1
amenity,restaurant,myBurgerLab Cyberjaya,1
amenity,school," SJK (C) Union, Cyberjaya ",1
amenity,school,Brainy Bunch International School and Headquarters,1
amenity,school,ELC International School,1
amenity,school,"SJK (C) Union, Cyberjaya 赛城联合华文小学",1
amenity,school,SK Cyberjaya,1
amenity,school,SMK Cyberjaya,1
amenity,school,Sekolah Seri Puteri Cyberjaya,1
amenity,school,Srk Cyberjaya 1,1
amenity,townhall,Majlis Perbandaran Sepang,1
