POI Name,Latitude,Longitude
Gocar Station 1,2.90689,101.65628
Gocar Station 2,2.91419,101.65499
Gocar Station 3,2.91736,101.65221
Gocar Station 4,2.91908,101.6549
Gocar Station 5,2.92071,101.65592
Gocar Station 6,2.92041,101.65788
Gocar Station 7,2.92208,101.66084
Gocar Station 8,2.92349,101.662
Gocar Station 9,2.92403,101.66766
Neuron electric scooter Station 1,2.92425,101.65593
Neuron electric scooter Station 2,2.92292,101.63416
Neuron electric scooter Station 3,2.91545,101.65067
bus stop 1,2.932927778,101.6427694
bus stop 2,2.933080556,101.6429583
bus stop 3,2.921561111,101.6512306
bus stop 4,2.921211111,101.6507694
bus stop 5,2.922233333,101.6539028
bus stop 6,2.922052778,101.6541667
bus stop 7,2.924322222,101.6553806
bus stop 8,2.925483333,101.6555444
bus stop 9,2.927141667,101.6546333
bus stop 10,2.927283333,101.6548194
bus stop 11,2.922836111,101.6564417
bus stop 12,2.922536111,101.6562222
bus stop 13,2.92525,101.6572833
bus stop 14,2.925083333,101.6576611
bus stop 15,2.941252778,101.6634083
bus stop 16,2.941713889,101.6632611
bus stop 17,2.939961111,101.6603611
bus stop 18,2.940086111,101.6603528
bus stop 19,2.936669444,101.6558778
bus stop 20,2.937769444,101.6552722
bus stop 21,2.923583333,101.65945
bus stop 22,2.923347222,101.6595222
bus stop 23,2.923913889,101.6612583
bus stop 24,2.923675,101.6613306
bus stop 25,2.923705556,101.6634111
bus stop 26,2.923436111,101.6634778
bus stop 27,2.921416667,101.6665806
bus stop 28,2.920438889,101.6668806
bus stop 29,2.917825,101.6683472
bus stop 30,2.917625,101.6681806
bus stop 31,2.9151,101.6691222
bus stop 32,2.915241667,101.66885
bus stop 33,2.909663889,101.6652639
bus stop 34,2.909886111,101.6653083
bus stop 35,2.92675,101.6616111
bus stop 36,2.926888889,101.6616722
bus stop 37,2.920936111,101.65865
bus stop 38,2.920866667,101.658425
bus stop 39,2.915613889,101.6575611
bus stop 40,2.916080556,101.6574417
bus stop 41,2.910422222,101.6559639
bus stop 42,2.90985,101.6558139
bus stop 43,2.906283333,101.6531889
bus stop 44,2.9064,101.6534083
bus stop 45,2.911988889,101.6581028
bus stop 46,2.911622222,101.6580167
bus stop 47,2.910988889,101.6496222
bus stop 48,2.911225,101.6496778
bus stop 49,2.909508333,101.6492417
bus stop 50,2.909677778,101.6489028
bus stop 51,2.917019444,101.6502222
bus stop 52,2.914694444,101.649225
bus stop 53,2.914486111,101.6493056
bus stop 54,2.920588889,101.6467361
bus stop 55,2.920541667,101.6469722
bus stop 56,2.920802778,101.6555861
bus stop 57,2.920769444,101.6554917
bus stop 58,2.920497222,101.6518389
bus stop 59,2.922366667,101.6408306
bus stop 60,2.922563889,101.6405694
bus stop 61,2.919327778,101.6378806
bus stop 62,2.919394444,101.6375667
bus stop 63,2.919033333,101.6399583
bus stop 64,2.919130556,101.6403
bus stop 65,2.925133333,101.6374944
bus stop 66,2.925283333,101.6377444
bus stop 67,2.922836111,101.642825
bus stop 68,2.960772222,101.6235778
bus stop 69,2.960772222,101.6235778
