customer_id	customer_age	arpu	model	gender
1000018443372088799				
1000156262008373076				
1000224617298878347	23.0	56.7	Unknown	female
1000389532835354059	39.0	88.48	vivo Y91C	male
1000764230386201908				
1001382391835439367	24.0	45.0	SM-G935FD	
100145068625335576	35.0	48.78	iPhone 7 Plus (A1784)	male
100145068625335576	38.0	91.57	vivo V15 Pro	male
1001941660439433129				
1001950042749209484	69.0	95.53	Nokia 3 DS	female
1001988014794122303	25.0	84.88	V9	male
100219655764136581	33.0	361.07	iPhone 6 (A1586)	male
100227089999863907	44.0	146.47	iPhone XR (A2105)	male
1002731930044195336				
1002802807619639939	37.0	104.46	SM-N950F DS	female
1002807205666152783	28.0	59.32	SM-G950FD	male
1002928075901985190	36.0	226.01	SM-N960F DS	male
1003241599024088590				
1003998966233943138	49.0	108.5	1724	female
1004100657106299922	50.0	157.64	iPhone 6 Plus (A1524)	male
1004434693768126632	55.0	130.67	iPhone 6S (A1688)	male
1004944629214078488	22.0	71.95	Xiaomi Mi 9T Pro	male
1005077960929527122				
1005785517217042357	29.0	81.26		male
1005795363758720810	30.0	80.6	iPhone 6 (A1586)	male
1005839359833109674	48.0	66.57	SM-A750F DS	male
100608783190562333				
1006370221183864104				
1006650270673291298	59.0	80.6	SM-G935FD	male
1006713171430991666	53.0	85.0	MI 9 SE	male
100687867767304688	16.0	55.59	CPH1853	male
1007134542604060317	55.0	58.16	A806	male
1007264272411510527	31.0	80.46	RMX1811	male
1007349074032595787	51.0	55.66	SM-A510FD	male
1007381443012942043	23.0	16.4	iPhone 6S (A1688)	female
1007407006287220756	30.0	113.33		male
1007484341585366249		86.24		female
1007588981736296297	74.0	85.33	A3s	male
1007723046111667236	24.0	232.33	SM-N960F DS	
100776946240884445	46.0	82.48	Honor 10 Lite	male
1007994966854863256	22.0	170.53	CPH1969	male
1008022219886153504	21.0	81.63	SM-J510GN DS	male
1008096677829979018				
1008383857157050205				
1008703810483842223	54.0	79.99	iPhone 6S Plus (A1687)	female
1009488738748146897				
1009633639188179290				
1009671957221939792	36.0	27.73	CPH1853	male
1009962658602749603				
1010148178755024201	22.0	90.6	Y53	female
1010237351853625396	49.0	110.16	V7+	male
101056874882420733	43.0	2.7	Redmi 4A	male
1010652090003594340	34.0	12.05	SM-G532G DS	
1010687318064200916	50.0	102.33	V7+	female
1010906513993846730	35.0	292.41	iPhone 6S Plus (A1687)	female
1011265477673881036				
1011324734278356069	42.0	65.17	iNew V8	male
1011355280691734088	24.0	50.16	Nova 2i	male
1011381579930318624	32.0	31.87	SM-J120G DS	male
1011477123846508308	47.0	57.97	Huawei Mate 20	male
1011519136756955822				
101183927461888403	34.0	49.46	P20	male
1012417209162122643	32.0	50.55	SM-A750GN DS	female
1012493274165326456	47.0	91.27	SM-T705	female
1012494373676954667	74.0	145.0	HONOR 9 Lite	male
1012805476585173457				
1013255606297842721	22.0	106.08	iPhone 8 Plus (A1897)	female
1013270859200664998				
1013364876743753524				
1013398486666286075	44.0	42.63	Nokia 5 DS	male
1013525961249757755	31.0	80.06	CPH1969	female
1013874478941634349	23.0	102.99	iPhone 6 (A1586)	female
1014012754147981561	37.0	107.24		male
1014055020250067660	58.0	113.66	PELE	male
