customer_id	campaign_outcome
7278271474546681529	Not Interested
z296370477958436978	Not Interested
r911565982152448916	Not Interested
q186176853125629887	Not Interested
k482906940645133770	Not Interested
1592070382506627512	Neuron electric scooter
8013861800980109302	GoCar
3062964217448057418	Neuron electric scooter
8008866451316398390	Not Interested
q562213685129274997	Not Interested
4755676843248284320	Not Interested
u582676703453580872	Not Interested
l460754938059481671	Not Interested
1385812170880381000	Neuron electric scooter
5731578679356877079	Not Interested
3023633239318593363	Not Interested
q305367926724115508	Neuron electric scooter
4143827934855962688	Not Interested
8087126229039521812	Not Interested
z563304360329206539	Not Interested
d003234465170959021	Not Interested
k071315123611287631	Neuron electric scooter
4619871083008625696	Neuron electric scooter
7798416597406113759	Neuron electric scooter
r350717468014698995	Not Interested
r345860841380862965	Not Interested
7965241797587917533	Not Interested
m462212001681311138	Not Interested
701321456232494472	Not Interested
3933013715909859953	Not Interested
h560602235270049213	Not Interested
8216050532972510867	Not Interested
q629194407974370117	Not Interested
2158874657126283854	Not Interested
q146411491269821715	Not Interested
r575616497807034032	Not Interested
k955343450154783969	Neuron electric scooter
l528252759317189199	Neuron electric scooter
u961463691322379589	Not Interested
5806736656448848736	Not Interested
m992885062025961716	Not Interested
168029345050795856	Neuron electric scooter
l128945108409089798	Neuron electric scooter
334337760908998773	Neuron electric scooter
l406433933342683745	Neuron electric scooter
q510769587962301570	Neuron electric scooter
h72557803095458589	Neuron electric scooter
u333883341229885145	Neuron electric scooter
h634285650143279017	Neuron electric scooter
k778614674496388379	Neuron electric scooter
r98265665361091328	Not Interested
h080803392579537784	Neuron electric scooter
6812137851270584764	Not Interested
r579370232581429938	Not Interested
1601062762863939741	Neuron electric scooter
l047347021950444500	Not Interested
4310466243466185575	Neuron electric scooter
r687330136074411760	Not Interested
6454831859608976739	Not Interested
2005897291859940741	Not Interested
z875001426039199313	Not Interested
114597878426259608	Neuron electric scooter
1639184735373557406	Not Interested
k153785652963150067	Neuron electric scooter
8901986956809441864	Neuron electric scooter
2043112752699492934	Not Interested
m337307738039417300	Not Interested
l844719855580908287	Not Interested
z838264296772877519	Neuron electric scooter
d17779917196190015	Neuron electric scooter
z109636853398920975	Not Interested
2733543677849703587	Not Interested
u190471048742352282	Neuron electric scooter
z5370464065199445	Not Interested
3549740091006822352	Not Interested
k688016369177956503	Neuron electric scooter
7655541582621826496	Not Interested
r877471204686452333	Not Interested
h416516552342050670	GoCar
8068146422425633286	Neuron electric scooter
1975970712275595084	Not Interested
k526345435971391856	Not Interested
8176987871737916413	Neuron electric scooter
364516751130213668	Not Interested
194205000738816075	Not Interested
986310011065414384	Neuron electric scooter
k357371020049051986	Not Interested
r058739125124952456	Not Interested
7661405415720462235	Neuron electric scooter
k095637584128096025	Not Interested
r236982494330831090	Not Interested
4209427476307459068	Not Interested
4445810795282572912	Not Interested
q024278882511417101	Not Interested
u807639433310846666	Neuron electric scooter
m322525539547361825	Not Interested
4056369240013016101	Not Interested
m678162532645606040	Not Interested
q295411856616124475	Neuron electric scooter
k25855379527188277	Not Interested
6776738159984369110	Neuron electric scooter
165578826960941030	Not Interested
5413339199980072149	Not Interested
2038179235166327043	Not Interested
462592091541459933	Neuron electric scooter
r681978100956045242	Neuron electric scooter
3080619872166440949	Not Interested
u114917326254422586	Not Interested
q546678187367341273	Neuron electric scooter
z155784073050998660	Not Interested
m649315897776851269	Not Interested
k291684978122369785	Not Interested
1766104472521282869	Not Interested
6111094264359590062	Neuron electric scooter
r495193328951400182	Not Interested
7355606723504075157	Not Interested
4899666346102260533	Neuron electric scooter
6412954610365585554	Neuron electric scooter
3118802953541701044	Not Interested
498067357567804319	Not Interested
d002462190247464245	Not Interested
3017363659069398439	Not Interested
h624531842563334090	Not Interested
6114750965138112502	Neuron electric scooter
d23371914106526772	Not Interested
7570844162102829497	Not Interested
8010682185958503331	Not Interested
633613613099201943	Not Interested
2579164697669062373	Not Interested
u925946811612776958	Not Interested
7051034688165908641	Not Interested
r01692981717261	Neuron electric scooter
7707362935448353752	Not Interested
6220805574619633357	Neuron electric scooter
r133215201338670835	Not Interested
k451561328780121664	Not Interested
6369411236032229285	Not Interested
4445254941353071611	Not Interested
r902816058122727800	Neuron electric scooter
m477917684518211036	Neuron electric scooter
399884830384935049	Not Interested
9137102960354430262	Not Interested
h068002318360267865	Not Interested
7985595264829954097	Neuron electric scooter
h609631466510123579	Not Interested
4572947723672580526	Neuron electric scooter
6573176772010101649	Not Interested
u260417626629015813	Neuron electric scooter
k189572348008955397	Neuron electric scooter
3130034787502810536	Not Interested
m284349497059917040	Not Interested
u010642144682290699	Neuron electric scooter
k350837130439566703	Not Interested
h347951370106021411	Neuron electric scooter
h265865565064710462	Neuron electric scooter
2388909061453351226	Neuron electric scooter
3676241035604619861	Not Interested
r722770190971428388	Not Interested
725660955770726014	Not Interested
r009787669974947041	Not Interested
z668456643229549881	Not Interested
5268116562654209066	Not Interested
q223848099720197560	Not Interested
m039294202622453347	Neuron electric scooter
q394837058444231096	Not Interested
k813436062106213088	Neuron electric scooter
h181844671201000012	Not Interested
2459087685900025238	Neuron electric scooter
q943767804756577123	Not Interested
h190563123139299589	Not Interested
m749894769229665419	Not Interested
m969144183771328394	Not Interested
k298423534341959864	Neuron electric scooter
7248886359716035174	Neuron electric scooter
3582883251809150417	Not Interested
d052409403909537577	Not Interested
4982894999611552031	Not Interested
6481713512149185736	Neuron electric scooter
u997920576312019216	Neuron electric scooter
4486737036794982679	Not Interested
3393102220534868027	Neuron electric scooter
6909425006873712012	Not Interested
l339068897968461289	Not Interested
m912961488203640756	Not Interested
q982969983229491038	Neuron electric scooter
q989659743401492891	Not Interested
8790555055721118852	Not Interested
7747960891956262287	Not Interested
u389968427639642125	Not Interested
4512047945646351903	Not Interested
r842524611394261450	Not Interested
u091841477119729871	Not Interested
4390084255923575286	Neuron electric scooter
3797175051730744092	Not Interested
1436363146092284189	Neuron electric scooter
h505535705568729548	Not Interested
3568234272084290720	Not Interested
h967434687220805199	Neuron electric scooter
