,date,hour,dayname,weekend,day_period,pm25_week_ago,pm25_two_week_ago
0,2019-07-01,0,Monday,FALSE,evening,15.95,29
1,2019-07-01,1,Monday,FALSE,evening,10.63,30.45
2,2019-07-01,2,Monday,FALSE,evening,5.33,32.34
3,2019-07-01,3,Monday,FALSE,evening,3.68,33.94
4,2019-07-01,4,Monday,FALSE,morning,2.53,35.27
5,2019-07-01,5,Monday,FALSE,morning,2.35,35.71
6,2019-07-01,6,Monday,FALSE,morning,3.5,36.31
7,2019-07-01,7,Monday,FALSE,morning,5.23,36.56
8,2019-07-01,8,Monday,FALSE,morning,4.19,36.46
9,2019-07-01,9,Monday,FALSE,morning,7.18,35.3
10,2019-07-01,10,Monday,FALSE,noon,8.89,33.79
11,2019-07-01,11,Monday,FALSE,noon,12.76,32.88
12,2019-07-01,12,Monday,FALSE,noon,12.96,32.21
13,2019-07-01,13,Monday,FALSE,noon,16.18,31.78
14,2019-07-01,14,Monday,FALSE,noon,18.57,31.38
15,2019-07-01,15,Monday,FALSE,noon,18.68,31.13
16,2019-07-01,16,Monday,FALSE,night,20,30.93
17,2019-07-01,17,Monday,FALSE,night,19.58,30.86
18,2019-07-01,18,Monday,FALSE,night,22.42,29.38
19,2019-07-01,19,Monday,FALSE,night,26.38,29.07
20,2019-07-01,20,Monday,FALSE,night,27.86,29.08
21,2019-07-01,21,Monday,FALSE,night,25,28.8
22,2019-07-01,22,Monday,FALSE,evening,23.52,28.64
23,2019-07-01,23,Monday,FALSE,evening,26.72,28.75
24,2019-07-02,0,Tuesday,FALSE,evening,26,29.5
25,2019-07-02,1,Tuesday,FALSE,evening,26.56,30.95
26,2019-07-02,2,Tuesday,FALSE,evening,24.25,32.1
27,2019-07-02,3,Tuesday,FALSE,evening,24.36,34.16
28,2019-07-02,4,Tuesday,FALSE,morning,23.57,34.68
29,2019-07-02,5,Tuesday,FALSE,morning,18.44,34.49
30,2019-07-02,6,Tuesday,FALSE,morning,17.67,33.93
31,2019-07-02,7,Tuesday,FALSE,morning,15.14,33.25
32,2019-07-02,8,Tuesday,FALSE,morning,12.53,32.96
33,2019-07-02,9,Tuesday,FALSE,morning,13.93,33.15
