,POI Name
0,Gocar Station 1
1,Gocar Station 2
2,Gocar Station 3
3,Gocar Station 4
4,Gocar Station 5
5,Gocar Station 6
6,Gocar Station 7
7,Gocar Station 8
8,Gocar Station 9
9,Neuron electric scooter Station 1
10,Neuron electric scooter Station 2
11,Neuron electric scooter Station 3
12,bus stop 1
13,bus stop 2
14,bus stop 3
15,bus stop 4
16,bus stop 5
17,bus stop 6
18,bus stop 7
19,bus stop 8
20,bus stop 9
21,bus stop 10
22,bus stop 11
23,bus stop 12
24,bus stop 13
25,bus stop 14
26,bus stop 15
27,bus stop 16
28,bus stop 17
29,bus stop 18
30,bus stop 19
31,bus stop 20
32,bus stop 21
33,bus stop 22
34,bus stop 23
35,bus stop 24
36,bus stop 25
37,bus stop 26
38,bus stop 27
39,bus stop 28
40,bus stop 29
41,bus stop 30
42,bus stop 31
43,bus stop 32
44,bus stop 33
45,bus stop 34
46,bus stop 35
47,bus stop 36
48,bus stop 37
49,bus stop 38
50,bus stop 39
51,bus stop 40
52,bus stop 41
53,bus stop 42
54,bus stop 43
55,bus stop 44
56,bus stop 45
57,bus stop 46
58,bus stop 47
59,bus stop 48
60,bus stop 49
61,bus stop 50
62,bus stop 51
63,bus stop 52
64,bus stop 53
65,bus stop 54
66,bus stop 55
67,bus stop 56
68,bus stop 57
69,bus stop 58
70,bus stop 59
71,bus stop 60
72,bus stop 61
73,bus stop 62
74,bus stop 63
75,bus stop 64
76,bus stop 65
77,bus stop 66
78,bus stop 67
79,bus stop 68
80,bus stop 69
